,IDH em 2010[8],populaçao em 2010[8],Razao_2020,Razao_2021,Razao
AEROLANDIA,0.311,11360,0.09225352112676057,0.11029929577464789,0.20255281690140847
AEROPORTO,0.177,8618,0.0329542817359016,0.027848688790902763,0.06080297052680436
ALDEOTA,0.867,42361,0.15622860650126297,0.11545997497698354,0.2716885814782465
ALTO DA BALANÇA,0.34700000000000003,12814,0.047760262213204306,0.04596535039800218,0.09372561261120649
ALVARO WEYNE,0.365,23690,0.06289573659772056,0.06095398902490502,0.12384972562262558
AMADEU FURTADO,0.588,11703,0.03204306588054345,0.03409382209689823,0.06613688797744169
ANCURI,0.204,20070,0.023966118584952664,0.03452914798206278,0.058495266567015446
ANTÔNIO BEZZERRA,0.348,25846,0.07026232299001779,0.07792308287549331,0.1481854058655111
ARACAPE,0.0,0,,,
AUTRAN NUNES,0.182,21208,0.044888721237268954,0.04531308940022633,0.09020181063749529
BARRA DO CEARA,0.21600000000000003,72423,0.04669787222291261,0.042900735954047746,0.08959860817696036
BARROSO,0.187,29847,0.04536469326900526,0.053204677186986966,0.09856937045599223
BELA VISTA,0.375,16754,0.07240062074728423,0.07001313119255104,0.14241375193983527
BENFICA,0.618,12954,0.09402501157943492,0.09387061911378725,0.18789563069322218
BOA VISTA,0.284,12247,0.03902996652241365,0.06752674124275333,0.10655670776516699
BOM FUTURO,0.505,6405,0.05120999219359875,0.05651834504293521,0.10772833723653397
BOM JARDIM,0.195,37758,0.07219662058371736,0.08610095873722125,0.1582975793209386
BONSUCESSO,0.262,41198,0.04276906645953687,0.060779649497548424,0.10354871595708529
CAIS DO PORTO,0.22399999999999998,22382,0.024528639084979,0.025064784201590563,0.049593423286569564
CAJAZEIRAS,0.305,14478,0.054220196159690565,0.05884790716949855,0.11306810332918912
CAMBEBA,0.518,7625,0.15501639344262294,0.11881967213114754,0.2738360655737705
CANINDEZINHO,0.136,41202,0.022620261152371243,0.03504684238629193,0.057667103538663174
CARLITO PAMPLONA,0.3,29076,0.04302517540239373,0.034736552483147616,0.07776172788554134
CENTRO,0.557,28538,0.14436891162660312,0.12005045903707337,0.2644193706636765
CIDADE 2000,0.562,8272,0.08800773694390715,0.1187137330754352,0.20672147001934235
CIDADE DOS FUNCIONARIOS,0.5720000000000001,18256,0.0763036809815951,0.06715600350569675,0.14345968448729185
COAÇU,0.255,7188,0.04757929883138564,0.04730105731775181,0.09488035614913745
COCO,0.762,20492,0.15215693929338278,0.0702225258637517,0.22237946515713447
CONJUNTO CEARA I,0.36,19221,0.12267832058685813,0.14031528016232245,0.26299360074918054
CONJUNTO CEARA II,0.36200000000000004,23673,0.007138934651290499,0.004942339373970346,0.012081274025260845
CONJUNTO ESPERANÇA,0.28800000000000003,16405,0.04090216397439805,0.05144772935080768,0.09234989332520573
CONJUNTO PALMEIRAS,0.11900000000000001,36599,0.030683898467171233,0.030629252165359708,0.06131315063253094
COUTO FERNANDES,0.361,5260,0.03650190114068441,0.05,0.08650190114068441
CRISTO REDENTOR,0.254,26717,0.05037990792379384,0.04218287981435041,0.09256278773814425
CURIO,0.188,7636,0.04924044002095338,0.05094290204295442,0.1001833420639078
DAMAS,0.511,10719,0.11288366452094412,0.09515813042261405,0.20804179494355818
DE LOURDES,0.642,3370,0.09851632047477744,0.04124629080118694,0.1397626112759644
DEMOCRITO ROCHA,0.369,10994,0.07776969255957795,0.10023649263234491,0.17800618519192285
DENDE,0.18100000000000002,5637,0.025545502927088876,0.06670214653184318,0.09224764945893206
DIAS MACEDO,0.271,12111,0.0569729997522913,0.05911980843860953,0.11609280819090083
DIONISIO TORRES,0.86,15634,0.140718945887169,0.0686324676986056,0.20935141358577458
DOM LUSTOSA,0.32,13147,0.026926294972237013,0.03909637179584696,0.06602266676808398
EDSON QUEIROZ,0.35,22210,0.10261143628995947,0.07861323728050428,0.18122467357046373
ELLERY,0.41600000000000004,7863,0.0534147272033575,0.05799313239221671,0.11140785959557421
ENGENHEIRO LUCIANO CAVALCANTE,0.522,15543,0.03422762658431448,0.02959531621952004,0.06382294280383452
FARIAS BRITO,0.5,12063,0.051894222001160575,0.04468208571665423,0.09657630771781481
FATIMA,0.695,23309,0.11201681753828993,0.08357286884894247,0.1955896863872324
FLORESTA,0.22399999999999998,28896,0.018653100775193797,0.017545681063122924,0.03619878183831672
GENIBAU,0.139,40336,0.02404799682665609,0.030964894882982943,0.055012891709639036
GRANJA LISBOA,0.17,52042,0.03193574420660236,0.03854578993889551,0.07048153414549788
GRANJA PORTUGAL,0.19,39651,0.04960782830193438,0.05326473481122796,0.10287256311316234
GUAJERU,0.289,6668,0.04409118176364727,0.04889022195560888,0.09298140371925614
GUARARAPES,0.768,5266,0.16559058108621344,0.08754272692745917,0.2531333080136726
HENRIQUE JORGE,0.341,26994,0.07468326294732162,0.07423871971549233,0.14892198266281395
ITAOCA,0.373,12477,0.03390238037989901,0.07044962731425823,0.10435200769415724
ITAPERI,0.368,22563,0.08004254753357266,0.09852413242919825,0.17856667996277092
JACARECANGA,0.44799999999999995,14204,0.1440439312869614,0.0941988172345818,0.2382427485215432
JANGURUSSU,0.172,50479,0.07040551516472196,0.07458547118603776,0.14499098635075972
JARDIM AMERICA,0.444,12264,0.06678082191780822,0.07950097847358122,0.14628180039138944
JARDIM CEARENSE,0.318,10103,0.03919627833316837,0.060378105513213896,0.09957438384638226
JARDIM DAS OLIVEIRAS,0.27,29571,0.04798620269858984,0.05972067228027459,0.10770687497886443
JARDIM GUANABARA,0.325,14919,0.06468261947851733,0.055231583886319456,0.1199142033648368
JARDIM IRACEMA,0.29,23184,0.06017080745341615,0.051026570048309176,0.11119737750172533
JOAO XXIII,0.284,18398,0.056854005870203284,0.07544298293292749,0.1322969888031308
JOAQUIM TAVORA,0.6629999999999999,23450,0.10038379530916844,0.07249466950959488,0.17287846481876332
JOQUEI CLUBE,0.406,19331,0.0473332988464125,0.0536444053592675,0.10097770420568
JOSE BONIFACIO,0.644,8848,0.08001808318264014,0.070750452079566,0.15076853526220613
JOSE DE ALENCAR,0.377,16003,0.05117790414297319,0.039992501405986376,0.09117040554895957
JOSE WALTER,0.395,33427,0.04071558919436384,0.05247255212851886,0.0931881413228827
LAGOA REDONDA,0.253,27949,0.06107553043042685,0.057533364342194714,0.11860889477262157
MANUEL DIAS BRANCO,0.337,1447,0.1990324809951624,0.1375259156876296,0.33655839668279197
MARAPONGA,0.39,10155,0.1996061053668144,0.1945839487936977,0.3941900541605121
MEIRELES,0.953,36982,0.20290952355199826,0.09642528797793522,0.29933481152993346
MESSEJANA,0.376,41689,0.12641224303773177,0.10633500443762144,0.2327472474753532
MONDUBIM,0.233,76044,0.04238335700383988,0.05876860764820367,0.10115196465204356
MONTE CASTELO,0.435,13215,0.1362845251608021,0.10919409761634506,0.24547862277714716
MONTESE,0.473,25970,0.09691952252599152,0.11008856372737774,0.20700808625336925
MOURA BRASIL,0.285,3765,0.04833997343957503,0.031075697211155377,0.07941567065073041
MUCURIPE,0.7929999999999999,13747,0.1048956135884193,0.08089037608205427,0.18578598967047355
NOVO MONDUBIM,0.0,0,,,
OLAVO OLIVEIRA,0.23,0,,,
PADRE ANDRADE,0.361,12936,0.05078849721706864,0.03811069882498454,0.08889919604205318
PANAMERICANO,0.373,8815,0.06273397617697107,0.09540555870674985,0.15813953488372093
PAPICU,0.53,18370,0.18083832335329342,0.11132280892759934,0.29216113228089274
PARANGABA,0.419,30947,0.08714899667172908,0.08029857498303551,0.1674475716547646
PARQUE ARAXA,0.5870000000000001,6715,0.0825018615040953,0.08160833953834698,0.16411020104244228
PARQUE DOIS IRMAOS,0.251,27236,0.034476428256719045,0.04277426934939051,0.07725069760610956
PARQUE IRACEMA,0.505,8409,0.08621714829349507,0.0523248899988108,0.13854203829230588
PARQUE MANIBURA,0.578,7529,0.06667552131757205,0.06109709124717758,0.12777261256474964
PARQUE SANTA ROSA,0.243,12790,0.04308053166536357,0.05652853792025019,0.09960906958561376
PARQUE SAO JOSE,0.284,10486,0.04091169177951554,0.05798207133320618,0.09889376311272172
PARQUELANDIA,0.628,14432,0.1159229490022173,0.11800166297117516,0.23392461197339245
PARREAO,0.5720000000000001,11072,0.0320628612716763,0.03829479768786127,0.07035765895953758
PASSARE,0.225,50940,0.06764821358460935,0.07169218688653317,0.13934040047114252
PAUPINA,0.24600000000000002,14665,0.0651892260484146,0.10023866348448687,0.16542788953290147
PEDRAS,0.264,1342,0.22950819672131148,0.4202682563338301,0.6497764530551415
PICI,0.21899999999999997,42494,0.029533581211465147,0.048053842895467595,0.07758742410693274
PIRAMBU,0.23,17775,0.03437412095639944,0.02481012658227848,0.05918424753867792
PLANALTO AYRTON SENNA,0.168,39446,0.024615930639355067,0.04119555848501749,0.06581148912437255
PRAIA DE IRACEMA,0.72,3130,0.22268370607028753,0.13035143769968052,0.35303514376996803
PRAIA DO FUTURO I,0.29100000000000004,6630,0.09728506787330317,0.12880844645550527,0.22609351432880842
PRAIA DO FUTURO II,0.168,11957,0.007108806556828636,0.020322823450698337,0.02743163000752697
PRESIDENTE KENNEDY,0.429,23004,0.05464267083985394,0.04651364980003478,0.10115632063988872
PRESIDENTE VARGAS,0.135,7192,0.008481646273637376,0.02864293659621802,0.0371245828698554
QUINTINO CUNHA,0.223,47277,0.033673879476278104,0.03504875520866383,0.06872263468494194
RODOLFO TEOFILO,0.48200000000000004,19114,0.07690697917756618,0.07565135502772836,0.15255833420529455
SABIAGUABA,0.267,2117,0.11903637222484648,0.12706660368445913,0.2461029759093056
SALINAS,0.491,4298,0.0781758957654723,0.06537924616100511,0.14355514192647742
SANTA MARIA,0.214,0,,,
SAO BENTO,0.198,11964,0.02039451688398529,0.023821464393179538,0.04421598127716483
SAO GERARDO,0.594,14505,0.06687349189934505,0.05956566701137539,0.12643915891072044
SAO JOAO DO TAUAPE,0.49200000000000005,27598,0.051960286977317194,0.04819189796362055,0.10015218494093775
SAPIRANGA / COITE,0.33799999999999997,32158,0.0009639902979040985,0.0009017973754586728,0.0018657876733627712
SERRINHA,0.28300000000000003,28770,0.07924921793534932,0.08470629127563434,0.16395550921098367
SIQUEIRA,0.149,33628,0.042464612822647796,0.06830617342690615,0.11077078624955394
VARJOTA,0.718,8421,0.12753829711435696,0.08383802398764992,0.21137632110200688
VICENTE PINZON,0.331,45518,0.049057515708071535,0.05382486049474933,0.10288237620282087
VILA MANOEL SATIRO,0.292,37952,0.01646817032040472,0.017522133220910625,0.033990303541315346
VILA PERI,0.342,20645,0.06316299346088641,0.08345846451925405,0.14662145798014048
VILA UNIAO,0.467,15378,0.10495513070620367,0.0846013785927949,0.1895565092989986
VILA VELHA,0.272,61617,0.03351347842316244,0.034324942791762014,0.06783842121492445
