Bairros,IDH em 2010[8],populaçao em 2010[8],,lat,lon
Aerolandia,0.311,11360,-3.7760889,-38.5179408
Aeroporto,0.177,8618,-3.770848,-38.5502368
Aldeota,0.867,42361,-3.7374546,-38.5199112
Alto da Balança,0.347,12814,-3.765004,-38.5213074
Alvaro Weyne,0.365,23690,-3.715959,-38.575376
Amadeu Furtado,0.588,11703,-3.7447265,-38.5680439
Ancuri,0.204,20070,-3.8637257,-38.5254025
Antônio Bezzerra,0.348,25846,-3.7401436,-38.6013957
Aracape,0,0,-3.8294355,-38.5967822
Autran Nunes,0.182,21208,-3.7544808,-38.5998235
Barra do Ceara,0.216,72423,-3.7039144,-38.5978045
Barroso,0.187,29847,-3.8210882,-38.5325587
Bela Vista,0.375,16754,-3.7520432,-38.569121
Benfica,0.618,12954,-3.7418023,-38.5474087
Boa Vista,0.284,12247,-3.7774434,-38.5751523
Bom Futuro,0.505,6405,-3.7578982,-38.5507084
Bom Jardim,0.195,37758,-3.7956185,-38.6191317
Bonsucesso,0.262,41198,-3.7828324,-38.6037652
Cais do Porto,0.224,22382,-3.7120506,-38.48891
Cajazeiras,0.305,14478,-3.8003857,-38.5154821
Cambeba,0.518,7625,-3.80677,-38.4952656
Canindezinho,0.136,41202,-3.8108238,-38.6212097
Carlito Pamplona,0.300,29076,-3.7170668,-38.5627056
Centro,0.557,28538,-3.7272442,-38.544684
Cidade 2000,0.562,8272,-3.7511454,-38.4762332
Cidade dos Funcionarios,0.572,18256,-3.794128,-38.5170866
Coaçu,0.255,7188,-3.8450927,-38.4946662
Coco,0.762,20492,-3.7511767,-38.4978225
Conjunto Ceara I,0.360,19221,-3.7671344,-38.6266913
Conjunto Ceara II,0.362,23673,-3.7701939,-38.6269614
Conjunto Esperança,0.288,16405,-3.8144071,-38.5998952
Conjunto Palmeiras,0.119,36599,-3.8484582,-38.5474519
Couto Fernandes,0.361,5260,-3.7603299,-38.5646241
Cristo Redentor,0.254,26717,-3.7076679,-38.5735227
Curio,0.188,7636,-3.822817,-38.4818988
Damas,0.511,10719,-3.7520132,-38.5573147
De Lourdes,0.642,3370,-3.7408287,-38.4713397
Democrito Rocha,0.369,10994,-3.7618402,-38.5740764
Dende,0.181,5637,-3.7987121,-38.5653222
Dias Macedo,0.271,12111,-3.7884022,-38.5308902
Dionisio Torres,0.860,15634,-3.7474499,-38.5197517
Dom Lustosa,0.320,13147,-3.752292,-38.5969194
Edson Queiroz,0.350,22210,-3.7758457,-38.4958524
Ellery,0.416,7863,-3.7232638,-38.5678004
Engenheiro Luciano Cavalcante,0.522,15543,-3.7765133,-38.5088119
Farias Brito,0.500,12063,-3.7323988,-38.5513777
Fatima,0.695,23309,-3.7513677,-38.5371048
Floresta,0.224,28896,-3.7203456,-38.5841668
Genibau,0.139,40336,-3.7575308,-38.6116396
Granja Lisboa,0.170,52042,-3.7871128,-38.6368743
Granja Portugal,0.190,39651,-3.7815305,-38.6087641
Guajeru,0.289,6668,-3.8323423,-38.4883645
Guararapes,0.768,5266,-3.7633995,-38.4979584
Henrique Jorge,0.341,26994,-3.7618112,-38.5952095
Itaoca,0.373,12477,-3.7725539,-38.5651311
Itaperi,0.368,22563,-3.7885256,-38.5665959
Jacarecanga,0.448,14204,-3.719745,-38.5541442
Jangurussu,0.172,50479,-3.8462195,-38.532825
Jardim America,0.444,12264,-3.752546,-38.5507753
Jardim Cearense,0.318,10103,-3.8007338,-38.574853
Jardim das Oliveiras,0.270,29571,-3.7804297,-38.5120475
Jardim Guanabara,0.325,14919,-3.7239391,-38.5990285
Jardim Iracema,0.290,23184,-3.723058,-38.5923886
Joao XXIII,0.284,18398,-3.7700229,-38.5960904
Joaquim Tavora,0.663,23450,-3.7452002,-38.5251434
Joquei Clube,0.406,19331,-3.7673711,-38.5829644
Jose Bonifacio,0.644,8848,-3.7388625,-38.537244
Jose de Alencar,0.377,16003,-3.8105556,-38.4898282
Jose Walter,0.395,33427,-3.8371746,-38.5644617
Lagoa Redonda,0.253,27949,-3.8255396,-38.4782573
Manuel Dias Branco,0.337,1447,-3.7547516,-38.4599998
Maraponga,0.390,10155,-3.7967121,-38.5769888
Meireles,0.953,36982,-3.7276177,-38.5187477
Messejana,0.376,41689,-3.8267715,-38.51054
Mondubim,0.233,76044,-3.8171612,-38.5883845
Monte Castelo,0.435,13215,-3.7248707,-38.5621479
Montese,0.473,25970,-3.7639525,-38.5590189
Moura Brasil,0.285,3765,-3.7181433,-38.5432332
Mucuripe,0.793,13747,-3.7259344,-38.4931798
Novo Mondubim,0,0,-3.8080299,-38.5938594
Olavo Oliveira,0.230,0,-3.7300644,-38.5991299
Padre Andrade,0.361,12936,-3.7363631,-38.5881086
Panamericano,0.373,8815,-3.7556875,-38.5733854
Papicu,0.530,18370,-3.7399468,-38.4929816
Parangaba,0.419,30947,-3.777756,-38.582981
Parque Araxa,0.587,6715,-3.7352727,-38.5526471
Parque Dois Irmaos,0.251,27236,-3.808729,-38.5651608
Parque Iracema,0.505,8409,-3.8064027,-38.5049423
Parque Manibura,0.578,7529,-3.7914975,-38.4948923
Parque Santa Rosa,0.243,12790,-3.8201181,-38.6033008
Parque Sao Jose,0.284,10486,-3.7966621,-38.5918892
Parquelandia,0.628,14432,-3.7372109,-38.5763746
Parreao,0.572,11072,-3.7585546,-38.5462074
Passare,0.225,50940,-3.8122821,-38.5478713
Paupina,0.246,14665,-3.8621741,-38.5085818
Pedras,0.264,1342,-3.8759343,-38.5308504
Pici,0.219,42494,-3.7488707,-38.5923773
Pirambu,0.230,17775,-3.7098469,-38.5616354
Planalto Ayrton Senna,0.168,39446,-3.8330799,-38.5899756
Praia de Iracema,0.720,3130,-3.7196819,-38.5216716
Praia do Futuro I,0.291,6630,-3.7392216,-38.4684247
Praia do Futuro II,0.168,11957,-3.7392639,-38.4859347
Presidente Kennedy,0.429,23004,-3.7292155,-38.5794408
Presidente Vargas,0.135,7192,-3.8253504,-38.6086364
Quintino Cunha,0.223,47277,-3.7299343,-38.6225355
Rodolfo Teofilo,0.482,19114,-3.7461258,-38.5600462
Sabiaguaba,0.267,2117,-3.8022832,-38.4617478
Salinas,0.491,4298,-3.763883,-38.508817
Santa Maria,0.214,0,-3.8496832,-38.5091886
Sao Bento,0.198,11964,-3.8074834,-38.6370533
Sao Gerardo,0.594,14505,-3.7302705,-38.5655725
Sao Joao do Tauape,0.492,27598,-3.7559556,-38.5228728
Sapiranga / Coite,0.338,32158,-3.7976611,-38.4834638
Serrinha,0.283,28770,-3.7839096,-38.5584358
Siqueira,0.149,33628,-3.8074834,-38.6370533
Varjota,0.718,8421,-3.8573,-38.4818
Vicente Pinzon,0.331,45518,-3.7275917,-38.4870443
Vila Manoel Satiro,0.292,37952,-3.7977594,-38.5901814
Vila Peri,0.342,20645,-3.788521,-38.5895106
Vila Uniao,0.467,15378,-3.7667563,-38.5446446
Vila Velha,0.272,61617,-3.7132019,-38.6223442
